PCCDB-ID,Open Babel SMILES,HOMO-LUMO gap,HOMO energy,LUMO energy,Dipole moment,Excitation energy (1st),Oscillator strength (1st),Excitation energy (2nd),Oscillator strength (2nd),Excitation energy (3rd),Oscillator strength (3rd),Excitation energy (4th),Oscillator strength (4th),Num. of H bond acceptor,Num. of H bond donor,TPSA,logP,Molecular refractivity,Melting point
15493,CN(CCCN1C(=CC(=C[C@@H](C1=O)C)C)C)C,5.064,-5.44,-0.376,3.07,4.378,0.1218,4.792,0.0021,4.912,0.0125,5.056,,3.0,0.0,23.55,2.204,76.26,43.79
20139,OCc1c(C)cc(cc1C)C,6.041,-6.212000000000001,-0.171,1.69,4.995,0.0059,5.425,0.1014,5.859,0.0069999999999999,5.924,,1.0,1.0,20.23,2.104,47.47,40.29
7039,OCc1cc(C)cc(c1O)CO,5.5760000000000005,-5.742000000000001,-0.166,4.5,4.556,0.0443,5.059,0.0047,5.419,0.0096,5.582999999999999,,3.0,3.0,60.69,0.685,45.69,95.04
18597,Oc1ccc(c(c1)C)C(C)C,5.837000000000001,-5.687,0.15,1.18,4.91,0.0316,5.027,0.0001,5.475,0.0037,5.608,,1.0,1.0,20.23,2.824,48.01,51.64
23204,C/C/1=C\CC(C)(C)/C=C/C/C(=C\CC1)/C,6.229,-5.782,0.446,0.12,5.263,0.025,5.4110000000000005,0.0053,5.557,0.0087,5.641,,0.0,0.0,0.0,5.035,70.42,44.94
34143,NCCc1c(C)oc2c1cc(OC)cc2,5.227,-5.529,-0.302,1.34,4.538,0.0708,4.811,0.157,5.172999999999999,0.0033,5.222,,3.0,1.0,48.39,2.951,60.15,116.25
12632,O=C1COc2c1cccc2C,4.702,-6.289,-1.586,2.8,3.78,0.0001,4.043,0.0863,5.031000000000001,0.1434,5.847,,2.0,0.0,26.3,1.57,41.17,72.4
835,OC[C@@H]([C@H]1OC(=O)C(=O)C1=O)O,3.2460000000000004,-6.882000000000001,-3.635,5.97,1.787,0.0001,3.62,0.0001,3.695,0.0023,4.155,,6.0,2.0,100.9,-2.597,32.85,88.47
34088,CCc1ccncc1C,6.226,-6.683,-0.457,2.84,4.883,0.0049,5.21,0.0,5.321000000000001,0.0379,6.002999999999999,,1.0,0.0,12.89,1.952,38.98,26.83
1676,CCCn1c(=O)nc(c2c1[nH]cn2)O,5.129,-5.957000000000001,-0.8270000000000001,8.44,4.542,0.1367,4.744,0.0116,5.079,0.0004,5.155,,4.0,2.0,83.54,-0.177,51.85,230.43
13026,Oc1cc(C)c(c(c1)O)O,5.421,-5.138,0.283,2.4,4.481,0.0022,4.659,0.0098,4.668,0.061,4.892,,3.0,3.0,60.69,1.112,37.48,130.08
10688,CC1=C(C)C(=O)C=CC1=O,3.853,-7.105,-3.252,0.68,2.539,0.0,2.83,0.0,3.3280000000000003,0.017,4.814,,2.0,0.0,34.14,1.031,37.91,63.89
14912,Oc1ccc(c(c1)C)C(C)(C)C,5.853,-5.695,0.158,1.14,4.937,0.0292,5.042,0.0001,5.501,0.0062,5.636,,1.0,1.0,20.23,2.998,52.7,57.92
27536,CCOC(=O)c1noc(c1C(=O)C)C,5.412000000000001,-6.947,-1.535,2.0,3.956,0.0004,4.759,0.0026,5.031000000000001,0.0139999999999999,5.184,,5.0,0.0,69.4,1.362,47.75,84.07
28688,Cc1sc2c(c1C[C]1[N]CCN1)cccc2,5.124,-5.766,-0.642,2.04,4.547,0.0627,4.654,0.0088,4.746,0.0325,4.891,,3.0,1.0,52.63,2.518,77.79,122.19
12860,CC(c1cc(cc(c1)C(C)C)C(C)C)C,6.365,-6.18,0.185,0.03,5.169,0.0003,5.74,0.0016,5.745,0.0,5.806,,0.0,0.0,0.0,5.057,70.18,12.84
3136,COC1=C(OC)C(=O)c2c(C1=O)cccc2,3.069,-5.965,-2.895,1.22,2.49,0.0377,2.94,0.0021,2.985,0.0,3.687,,4.0,0.0,52.6,1.57,56.03,94.09
26075,Cc1cc(=O)n(c(=O)n1C)C,5.542999999999999,-6.362,-0.8190000000000001,4.66,4.795,0.0,5.057,0.1637,5.572,0.0078,5.752000000000001,,4.0,0.0,44.0,-0.608,42.45,84.37
