Year	Honey producing bee colonies (US)	Marriage rate in Vermont	Computer science doctorates awarded (US)	Divorce rate in South Carolina	Divorce rate in Massachusetts	Legal executions
	Thousands of colonies (USDA)	Marriages per 1000 people (US Census)	Degrees awarded (National Science Foundation)	Divorces per 1000 people (US Census)	Divorces per 1000 people (US Census)	Deaths (US) (CDC)
1999	2652	10.0	856	3.8	2.5	88
2000	2622	10.0	861	3.8	2.5	80
2001	2550	9.8	830	3.6	2.4	63
2002	2574	9.8	809	3.4	2.5	67
2003	2599	9.7	867	3.3	2.5	60
2004	2554	9.4	948	3.2	2.2	52
2005	2409	8.9	1129	2.9	2.2	54
2006	2394	8.6	1453	2.9	2.3	48
2007	2443	8.5	1656	3.0	2.3	40
2008	2342	7.9	1787	2.8	2.0	35
2009	2498	8.7	1611	3.0	2.2	49
